code,continentCode,country,countryAr,agreementsAr,agreements,goalsAr,goals,signDateAr,signDate,continentAr,continent,entity,entityAr
KW,AS,Kuwait,دولة الكويت,البرنامج التنفيذي للتعاون التربوي بين حكومة دولة الامارات وحكومة دولة الكويت للأعوام 2021-2023,Executive Program for Educational Cooperation between the Government of the United Arab Emirates and the Government of the State of Kuwait for the years 2021-2023,التعاون في المجال التربوي والتعليمي وتبادل الخبرات في مجال الخطط الدراسية والمناهج التعليمية والكتب المدرسية,"Cooperation in the educational and educational field and exchange of experiences in the field of curricula, curricula and textbooks",5 / نوفمبر /2020,5 / November /2020,آسيا,Asia,,
CN,AS,"Hong Kong SAR, China",هونغ كونغ,مذكرة تفاهم بين وزارة التربية والتعليم بدولة الإمارات العربية المتحدة (مفوضية الاعتماد الأكاديمي) ومجلس هونغ كونغ لاعتماد المؤهلات الأكاديمية والمهنية,Memorandum of Understanding between the Ministry of Education of the United Arab Emirates (Commission for Academic Accreditation) and the Hong Kong Council for Accreditation of Academic and Professional Qualifications,التعاون في مجال التعليم بين البلدين وتبادل القوانين واللوائح والسياسات المتبعة في هذا المجال,"Cooperation in the educational field between the two countries and the exchange of laws, regulations and policies followed in this field",22/ سبتمبر /2020,22/ September /2020,آسيا,Asia,,
CN,AS,The People's Republic of China,جمهورية الصين الشعبية,مذكرة تفاهم بشأن التعاون في المجال العلمي والتقني بين (وزارة التربية والتعليم في دولة الإمارات العربية المتحدة و(المؤسسة الوطنية للعلوم الطبيعية في الصين),Memorandum of Understanding on Scientific and Technical Cooperation between the Ministry of Education of the United Arab Emirates and the National Natural Science Foundation of China,التعاون وتبادل البحوث الأساسية في المجالات العليمة والتقنية,Cooperation and exchange of basic research in scientific and technical fields,7/يوليو/2021,7/July/2021,آسيا,Asia,,
BH,AS,kingdom of Bahrain,مملكة البحرين,البرنامج التنفيذي بين حكومة دولة الإمارات العربية المتحدة وحكومة مملكة البحرين للتعاون في مجال التربية والتعليم للأعوام 2021 – 2023,Executive Program between the Government of the United Arab Emirates and the Government of the Kingdom of Bahrain for cooperation in the field of education for the years 2021-2023,التعاون في المجال التربوي والتعليمي وتبادل الخبرات في مجال الخطط الدراسية والمناهج التعليمية والكتب المدرسية,"Cooperation in the educational and educational field and exchange of experiences in the field of curricula, curricula and textbooks",9/نوفمبر /2021,9/November /2021,آسيا,Asia,,
BH,AS,kingdom of Bahrain,مملكة البحرين,مذكرة تفاهم في مجال التعليم العالي بين حكومة دولة الإمارات العربية المتحدة وحكومة مملكة البحرين,Memorandum of Understanding in the field of higher education between the Government of the United Arab Emirates and the Government of the Kingdom of Bahrain,تعزيز وتطوير التعاون في مجالات التي تخدم العملية التعليمية,Enhancing and developing cooperation in areas that serve the educational process,9/نوفمبر /2021,9/November /2021,آسيا,Asia,,
IL,AS,Israel,إسرائيل,مذكرة تفاهم بين حكومة دولة الإمارات العربية المتحدة وحكومة دول إسرائيل للتعاون في مجال التعليم,Memorandum of Understanding between the Government of the United Arab Emirates and the Government of the States of Israel for cooperation in the field of education,التعاون في مجال التعليم العام والعالي,Cooperation in the field of general and higher education,9/نوفمبر /2021,9/November /2021,آسيا,Asia,,
FR,EU,France,فرنسا,مذكرة تفاهم في مجال تدريس اللغة الفرنسية بين وزارة التربية والتعليم بدولة الإمارات العربية المتحدة ووزارة أوروبا والشؤون الخارجية بالجمهورية الفرنسية,Memorandum of Understanding in the field of teaching the French language between the Ministry of Education of the United Arab Emirates and the Ministry of Europe and Foreign Affairs of the French Republic,توثيق التعاون بين البلدين في مجال تدريس اللغة الفرنسية في مدارس دولة الإمارات العربية المتحدة,Strengthening cooperation between the two countries in the field of teaching the French language in the schools of the United Arab Emirates,26/يوليو/2018,26/July/2018,أوروبا,Europe,,
RS,EU,Serbia,جمهورية صربيا,مذكرة تفاهم بين وزارة التربية والتعليم بدولة الإمارات العربية المتحدة ووزارة التعليم والعلوم والتطوير التكنولوجي بجمهورية صربيا بشأن التعاون في مجال التعليم العالي والبحث العلمي,"Memorandum of Understanding between the Ministry of Education of the United Arab Emirates and the Ministry of Education, Science and Technological Development of the Republic of Serbia on cooperation in the field of higher education and scientific research",التعاون في مجال التعليم والاحتياجات التعليمية,Cooperation in the field of education and educational needs,24/أكتوبر/2018,24/October/2018,أوروبا,Europe,,
BY,EU,Belarus,بيلاروسيا,مذكرة تفاهم بين وزارة التربية والتعليم في دولة الإمارات العربية المتحدة ووزارة التعليم في جمهورية بيلاروسيا بشأن التعاون في مجال التعليم,Memorandum of Understanding between the Ministry of Education of the United Arab Emirates and the Ministry of Education of the Republic of Belarus on cooperation in the field of education,إقامة علاقات بين مؤسسات التعليم في كلا البلدين وتبادل المعلومات والخبرات في مختلف المجالات التعليمية,Establishing relations between educational institutions in both countries and exchanging information and experiences in various educational fields,28/يوليو/2019,28/July/2019,أوروبا,Europe,,
ES,EU,Spain,اسبانيا,مذكرة تفاهم بين وزارة التربية والتعليم في دولة الإمارات العربية المتحدة ووزارة التعليم والتدريب المهني في مملكة اسبانيا بشأن زيارة المعلم لتدريس اللغة الاسبانية,Memorandum of Understanding between the Ministry of Education of the United Arab Emirates and the Ministry of Education and Vocational Training of the Kingdom of Spain regarding the visit of the teacher to teach the Spanish language,توثيق علاقات التعاون في مجال التعليم وتزويد <br/>المدارس الإماراتية بالمعلمين الأسبان,Strengthening cooperation relations in the field of education and providing <br/>Emirati schools with Spanish teachers,23/يوليو/2020,23/July/2020,أوروبا,Europe,,
GB,EU,United Kingdom,المملكة المتحدة,مذكرة تفاهم بين هيئة الاعتماد الأكاديمي في وزارة التربية والتعليم بدولة الإمارات العربية المتحدة ووكالة ضمان الجودة للتعليم العالي في المملكة المتحدة,Memorandum of Understanding between the Academic Accreditation Authority in the Ministry of Education of the United Arab Emirates and the Quality Assurance Agency for Higher Education in the United Kingdom,ترخيص مؤسسات التعليم العالي واعتماد برامجها التعليمية,Licensing of higher education institutions and accreditation of their educational programs,16 / سبتمبر/2020,16 / September/2020,أوروبا,Europe,,
MT,EU,Malta,مالطا,مشروع مذكرة تفاهم بشأن التعاون في مجال التعليم العالي والبحث العلمي بين وزارة التربية والتعليم بدولة الامارات العربية المتحدة ووزارة التعليم والتوظيف بجمهورية مالطا,Draft Memorandum of Understanding on Cooperation in the Field of Higher Education and Scientific Research between the Ministry of Education of the United Arab Emirates and the Ministry of Education and Employment of the Republic of Malta,التعاون في مجال التعليم العالي والعلوم والبحث العلمي.,"Cooperation in the field of higher education, science and scientific research.",7 / فبراير /2021,7 / February /2021,أوروبا,Europe,,
FI,EU,Finland,فنلندا,مذكرة تفاهم للتعاون في مجال التعليم العالي والبحث العلمي بين وزارة التربية والتعليم في دولة الامارات العربية المتحدة ووزارة التربية والتعليم والثقافة في جمهورية فنلندا,Memorandum of Understanding for Cooperation in the Field of Higher Education and Scientific Research between the Ministry of Education of the United Arab Emirates and the Ministry of Education and Culture of the Republic of Finland,التعاون في مجال التعليم العالي والبحث العلمي,Cooperation in the field of higher education and scientific research,6/مايو/2021,6/May/2021,أوروبا,Europe,,
IT,EU,Vatican,الفاتيكان,مذكرة تفاهم بين وزارة التربية والتعليم في دولة الإمارات العربية المتحدة ومجمع التعليم الكاثوليكي (الوزارة) (الكرسي الرسولي) بمدينة الفاتيكان,Memorandum of Understanding between the Ministry of Education of the United Arab Emirates and the Congregation for Catholic Education (Ministry) (Apostolic See) in the Vatican City,تعزيز ثقافة اللقاء والإخاء كأساس وطريق العدالة والسلام,Promoting the culture of meeting and brotherhood as the basis and path of justice and peace,5/يوليو/2021,5/July/2021,أوروبا,Europe,,
FR,EU,France,فرنسا,مذكرة تفاهم بين وزارة التربية والتعليم (مفوضية الاعتماد الأكاديمي) في دولة الإمارات العربية المتحدة والمجلس الأعلى لتقييم البحث والتعليم العالي (Hcéres) في الجمهورية الفرنسية,Memorandum of Understanding between the Ministry of Education (Commission for Academic Accreditation) in the United Arab Emirates and the High Council for the Evaluation of Research and Higher Education (Hcéres) in the French Republic,التعاون في مجال التعليم بين البلدين وتبادل القوانين واللوائح والسياسات المتبعة في هذا المجال,"Cooperation in the field of education between the two countries and the exchange of laws, regulations and policies followed in this field",26/يوليو/2021,26/July/2021,أوروبا,Europe,,
AT,EU,Austria,​النمسا,اتفاقية بين وزارة التربية والتعليم (المركز الوطني للمؤهلات) ومهارات فرنسا,Agreement between the Ministry of Education (National Qualifications Authority) and Skills France,مواءمة أطر المؤهلات الوطنية لكل منهما لتحسين الشفافية وقابلية المقارنة وقابلية نقل مؤهلات المتعلمين بين الدولتين ودعم مبادئ التعلم مدى الحياة.,"Aligning the national qualifications frameworks of each of them to improve transparency, comparability and transferability of learners' qualifications between the two countries and support the principles of lifelong learning.",9/سبتمبر/2021,9/September/2021,أوروبا,Europe,,
EE,EU,Estonia,استونيا,مشروع مذكرة تفاهم في مجال التعليم بين دولة الإمارات العربية المتحدة وجمهورية إستونيا,Draft Memorandum of Understanding in the field of education between the United Arab Emirates and the Republic of Estonia,التعاون بين مؤسسات التعليم العام والعالي والمشاركة في المؤتمرات، والندوات، والدورات، والمعارض.,"Cooperation between public and higher education institutions and participation in conferences, seminars, courses and exhibitions.",13/ديسمبر/2021,13/December/2021,أوروبا,Europe,,
ES,EU,Spain,اسبانيا,مذكرة تفاهم بين وزارة التربية والتعليم بدولة الإمارات العربية المتحدة ووزارة الجامعات بمملكة اسبانيا بشأن التعاون في مجال التعليم العالي والبحث العلمي,Memorandum of Understanding between the Ministry of Education of the United Arab Emirates and the Ministry of Universities of the Kingdom of Spain on cooperation in the field of higher education and scientific research,التعاون وتطوير التعليم العالي والبحث العلمي,Cooperation and development of higher education and scientific research,2/فبراير/202,2/February/202,أوروبا,Europe,,
SN,AFR,Senegal,السنغال,مذكرة تفاهم بين وزارة التربية والتعليم بدولة الإمارات ووزارة التعليم العالي والبحث والابتكار بالسنغال بشأن التعاون في مجال التعليم,"Memorandum of Understanding between the Ministry of Education of the United Arab Emirates and the Ministry of Higher Education, Research and Innovation of Senegal on cooperation in the field of education",التعاون في مجال التعليم بين البلدين كذلك التعاون في المجال التقني,Cooperation in the field of education between the two countries as well as cooperation in the technical field,6/فبراير/2020,6/February/2020,إفريقيا,Africa,,
SL,AFR,Sierra-Leone,سيراليون,مذكرة تفاهم بين وزارة التربية والتعليم في دولة الإمارات العربية المتحدة ووزارة التعليم العالي والتقني في جمهورية سيراليون,Memorandum of Understanding between the Ministry of Education in the United Arab Emirates and the Ministry of Higher and Technical Education in the Republic of Sierra Leone,التعاون في مجال التعليم العام والعالي,Cooperation in the field of general and higher education,11/مارس/2021,11/March/2021,إفريقيا,Africa,,
EG,AFR,Egypt,مصر,البرنامج التنفيذي للتعاون في مجال التعليم العالي بين وزارة التربية والتعليم بدولة الإمارات العربية المتحدة ووزارة التعليم العالي والبحث العلمي بجمهورية مصر العربية للأعوام 2021-2023,Executive Program for Cooperation in the Field of Higher Education between the Ministry of Education of the United Arab Emirates and the Ministry of Higher Education and Scientific Research of the Arab Republic of Egypt for the years 2021-2023,التعاون في مجال التعليم العالي,Cooperation in the field of higher education,9/ديسمبر/2021,9/December/2021,إفريقيا,Africa,,
US,NA,United States of America,الولايات المتحدة الأمريكية,مذكرة تفاهم بين وزارة التربية والتعليم بدولة الإمارات العربية المتحدة (مفوضية الاعتماد الأكاديمي) وجمعية تطوير كليات الأعمال -الولايات المتحدة,Memorandum of Understanding between the Ministry of Education of the United Arab Emirates (Commission for Academic Accreditation) and the Association to Advance Collegiate Schools of Business - United States,ترخيص مؤسسات التعليم العالي واعتماد برامجها التعليمية,Licensing of higher education institutions and accreditation of their educational programs,10 / سبتمبر / 2020,10 / September / 2020,أمريكا,America,,
US,NA,United States of America,​الولايات المتحدة الأمريكية,مذكرة تفاهم بين وزارة التربية والتعليم (مفوضية الاعتماد الأكاديمي) بدولة الإمارات العربية المتحدة ومجلس اعتماد التعليم الصيدلي (ACPE) في الولايات المتحدة الأمريكية,Memorandum of Understanding between the Ministry of Education (Commission for Academic Accreditation) of the United Arab Emirates and the Accreditation Council for Pharmacy Education (ACPE) in the United States of America,ترخيص مؤسسات التعليم العالي واعتماد برامجها التعليمية,Licensing of higher education institutions and accreditation of their educational programs,7/ديسمبر/2020,7/December/2020,أمريكا,America,,
AU,OC,Australia,استراليا,مذكرة تفاهم بين وزارة التربية والتعليم –الملحقية الثقافية في سفارة دولة الإمارات العربية المتحدة-كانبرا وجامعة موناش – استراليا,Memorandum of Understanding between the Ministry of Education - Cultural Attaché at the Embassy of the United Arab Emirates - Canberra and Monash University - Australia,التعاون في الأنشطة الاكاديمية والبحثية مع جامعة موناش,Cooperation in academic and research activities with Monash University,22/نوفمبر/2019,22/November/2019,أستراليا,Australia,,
AU,OC,Australia,​استراليا,مذكرة تعاون بين مفوضية الاعتماد الأكاديمي وزارة التربية والتعليم بدولة الإمارات العربية المتحدة ووكالة جودة التعليم العالي والمعايير بأستراليا,Memorandum of Cooperation between the Commission for Academic Accreditation of the Ministry of Education of the United Arab Emirates and the Tertiary Education Quality and Standards Agency in Australia,ترخيص مؤسسات التعليم العالي واعتماد برامجها التعليمية,Licensing of higher education institutions and accreditation of their educational programs,29/نوفمبر/2019,29/November/2019,أستراليا,Australia,,
AU,OC,Australia,​استراليا,مذكرة بين وزارة التربية والتعليم (مفوضية الاعتماد الأكاديمي) والمجلس الأسترالي لطب الأسنان (ADC),Memorandum of Understanding between the Ministry of Education (Commission for Academic Accreditation) and the Australian Dental Council (ADC),بشأن ترخيص مؤسسات التعليم العالي واعتماد برامجها التعليمية,Licensing of higher education institutions and accreditation of their educational programs,23/فبراير/2021,23/February/2021,أستراليا,Australia,,
BR,SWA,Brazil,البرازيل,مذكرة تفاهم بين وزارة التربية والتعليم (دولة الإمارات العربية المتحدة) ووزارة التعليم (جمهورية البرازيل الاتحادية) للتعاون في مجال التعليم,Memorandum of Understanding between the Ministry of Education (United Arab Emirates) and the Ministry of Education (Federative Republic of Brazil) for Cooperation in the Field of Education,التعاون في مجال التعليم الأساسي (العام) والعالي والتقني والمهني,"Cooperation in the field of basic (general), higher, technical and vocational education",13/نوفمبر/2021,13/November/2021,أمريكا الجنوبية,South America,,
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم والهيئة العامة للرياضة,Memorandum of Understanding between the Ministry of Education and the General Authority for Sports,التنسيق والتعاون في ما يتعلق بالنهوض بالرياضة,Coordination and cooperation in the field of sports promotion,15/فبراير/2018,15/Feb/2018,آسيا,Asia,The General Authority for Sports,الهيئة العامة للرياضة
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم ومجلس علماء الامارات بشأن التعاون المشترك في مجال البحث العلمي والابتكار والريادة,"Memorandum of Understanding between the Ministry of Education and the UAE Scholars Council on cooperation in the field of scientific research, innovation and entrepreneurship",تعزيز الكفاءات الوطنية في مجالات البحث العلمي والابتكار والريادة,"Enhancing national competencies in the fields of scientific research, innovation and entrepreneurship",17/فبراير/2018,17/Feb/2018,آسيا,Asia,UAE Scholars Council,مجلس علماء الامارات
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم وبين مجلس الشارقة التعليمي,Memorandum of Understanding between the Ministry of Education and Sharjah Education Council,انشاء لجنة مشتركة لتحديد الأدوار بما يشمل مؤسسات التعليم والطفولة المبكر العام والخاص وكافة الحضانات في امارة الشارقة وإعطاء بعض الصلاحيات لمجلس الشارقة التعليمي,Establish a joint committee to determine the roles of public and private education and early childhood institutions and all nurseries in the Emirate of Sharjah and give some powers to the Sharjah Education Council,18/فبراير/2018,18/Feb/2018,آسيا,Asia,Sharjah Education Council,مجلس الشارقة التعليمي
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم وبين وزارة الاقتصاد,Memorandum of Understanding between the Ministry of Education and the Ministry of Economy,نشر الثقافة المتعلقة بالملكية الفكرية في تسجيل براءة الاختراع,Disseminate the culture of intellectual property in patent registration,28/فبراير/2018,19/Feb/2018,آسيا,Asia,Ministry of Economy,وزارة الاقتصاد
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم وجائزة حمدان بن راشد آل مكتوم للأداء التعليمي المتميز بشأن حقيبة جائزة حمدان بن راشد آل مكتوم للأداء التعليمي المتميز لاكتشاف الطلبة الموهوبين,Memorandum of Understanding between the Ministry of Education and the Ministry of Health and Prevention,بناء الشخصية العالمية والتميز الأكاديمي واكتشاف ورعاية الموهوبين المصممة لطلبة دولة الإمارات العربية المتحدة,Discovering talented students,21/مارس/2018,20/Feb/2018,آسيا,Asia,Ministry of Health and Prevention,جائزة حمدان بن راشد آل مكتوم للأداء التعليمي المتميز
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم وجامعة السوربون - واظبي,,التعاون في تطوير وتنمية المهارات الموسيقية للطلبة,Cooperation in the development and development of musical skills of students,25/مارس/2018,25/Feb/2018,آسيا,Asia,Sorbonne University - Abu Dhabi,جامعة السوربون - واظبي
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,اتفاقية تعاون بشأن البعثات الطلابية بين وزارة التربية والتعليم وجامعة الامارات العربية المتحدة.,Memorandum of Understanding between the Ministry of Education and the United Arab Emirates University,الاشراف على البعثات الطلابية,Supervising student missions,19/ديسمبر/2018,26/Feb/2018,آسيا,Asia,United Arab Emirates University,جامعة الامارات العربية المتحدة
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,اتفاقية تعاون بين وزارة التربية والتعليم وديوان سمو الحاكم – حكومة دبي.,Memorandum of Understanding between the Ministry of Education and the Dubai Government,الاشراف على البعثات الطلابية,Supervising student missions,19/ديسمبر/2018,26/Feb/2018,آسيا,Asia,Ruler's Court - Government of Dubai,ديوان سمو الحاكم – حكومة دبي.
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية ودائرة التعليم والمعرفة,Memorandum of Understanding between the Ministry of Education and the Department of Education and Knowledge,تحديد صلاحيات واختصاصات المتعلقة بمدارس في امارة أبوظبي,Determine the powers and competencies related to schools in the Emirate of Abu Dhabi,2018,2018,آسيا,Asia,Department of Education and Knowledge,دائرة التعليم والمعرفة
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم وتعاون بين وزارة الخارجية والتعاون الدولي ووزارة التربية والتعليم,Memorandum of Understanding between the Ministry of Education and the Ministry of Foreign Affairs and International Cooperation,تحديد أطر التعاون وتعزيز وتبادل الفرص المحتملة داخل قطاع التعليم وتقديم الخدمات المناسبة من أجل تنظيم عمل المدارس الخاصة التابعة للبعثات الأجنبية في الدولة,"Defining cooperation frameworks, promoting and exchanging potential opportunities within the education sector, and providing appropriate services in order to organize the work of private schools affiliated with foreign missions in the country.",26/ديسمبر/2018,,آسيا,Asia,Ministry of Foreign Affairs and International Cooperation,وزارة الخارجية والتعاون الدولي
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,اتفاقية تعاون بين كل من وزارة التربية والتعليم ودائرة التعليم والمعرفة,Memorandum of Understanding between the Ministry of Education and the Department of Education and Knowledge,الاشراف على البعثات الطلابية,Supervising student missions,7/فبراير/2019,,آسيا,Asia,Department of Education and Knowledge,دائرة التعليم والمعرفة
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم ودائرة الموارد البشرية بإمارة الشارقة بشأن الإشراف على الطلبة المبتعثين خارج الدولة.,Memorandum of Understanding between the Ministry of Education and the Sharjah Human Resources Department regarding the supervision of students studying abroad,الاشراف على البعثات الطلابية,Supervising student missions,5/مايو/2019,7/Feb/2019,آسيا,Asia,Sharjah Human Resources Department,دائرة الموارد البشرية بإمارة الشارقة
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,"اتفاقية بين وزارة التربية والتعليم وجامعة الإمارات العربية المتحدة بشأن برنامج "" معلم المستقبل ","Memorandum of Understanding between the Ministry of Education and the United Arab Emirates University regarding the ""Future Teacher"" program",توفير دفعة جديدة من المعلمين بكفاءة عالية لتعليم الجيل القادم من الطلبة الدارسين في المدارس الحكومية,Providing a new batch of highly qualified teachers to teach the next generation of students studying in government schools,13/مايو/2019,,آسيا,Asia,United Arab Emirates University,جامعة الإمارات العربية المتحدة
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم بين وزارة التربية والتعليم ومؤسسة فاطمة بنت هزاع الثقافية.,Memorandum of Understanding between the Ministry of Education and the Fatima Bint Hazaa Cultural Foundation.,التعاون وتنسيق بين الطرفين في المبادرات الثقافية وتعليمية المختلفة لطلاب الدولة في مجال الأدب والفنون وتفاعل المجتمعي,"Cooperation and coordination between the two parties in various cultural and educational initiatives for state students in the field of literature, arts and community interaction",26/يونيو/2019,,آسيا,Asia,Fatima Bint Hazaa Cultural Foundation,مؤسسة فاطمة بنت هزاع الثقافية
AE,AS,United Arab Emirates,الإمارات العربية المتحدة,مذكرة تفاهم مشترك بين وزارة التربية والتعليم والوكالة الدولية للطاقة المتجددة (إيرينا).,A joint memorandum of understanding between the Ministry of Education and the International Renewable Energy Agency (IRENA).,تعزيز الوعي العام والتعليم والبحث العلمي ومعرفة والابتكار في مجال الطاقة المتجددة,"Promoting public awareness, education, scientific research, knowledge and innovation in the field of renewable energy",26/يونيو/2019,,آسيا,Asia,International Renewable Energy Agency (IRENA),الوكالة الدولية للطاقة المتجددة (إيرينا)
